en,de,fr,definition,category
"patent, unitary ~","Patent, einheitliches ~",brevet unitaire,,"[""LAW""]"
"patent, ~ in suit, contested ~","Streitpatent, Klagepatent","brevet, ~ en litige, ~ litigieux",,"[""LAW""]"
"patent, industrial ~s","Patent, gewerbliche ~e","brevet, ~s industriels",,"[""LAW""]"
"patent, to assign the ~","Patent, das ~ rechtsgeschäftlich übertragen","brevet, céder le ~",,"[""LAW""]"
"patent, to infringe a ~","Patent, ein ~ verletzen","brevet, contrefaire un ~",,"[""LAW""]"
"patent, to apply for a ~","Patent,  ein ~ beantragen","brevet, demander un ~",,"[""LAW""]"
"patent, lapse of the ~","Patent, Erlöschen des ~s","brevet, extinction du ~",,"[""LAW""]"
"application,   processing of European ~s","Patentanmeldung, Behandlung europäischer ~en","brevet, instruction des demandes de ~ européen",,"[""LAW""]"
"patent, to maintain the ~","Patent, das ~ aufrechterhalten","brevet, maintenir le ~",,"[""LAW""]"
"patent, to be granted a ~","Patent, ein ~ erlangen","brevet, obtenir un ~",,"[""LAW""]"
patentability,Patentierbarkeit,brevetabilité,,"[""LAW""]"
patentable invention,"patentfähige, patentierbare Erfindung","brevetable, invention ~",,"[""LAW""]"
"patent, to ~",patentieren,breveter,,"[""LAW""]"
Patent Bulletin,Patentblatt,Bulletin des brevets,,"[""LAW""]"
limestone,Kalkstein,calcaire,,"[""TECH"",""CHEM""]"
feature,Merkmal,caractéristique,,"[""LAW""]"
"feature, characterising ~","Merkmal, kennzeichnendes ~",caractéristique,,"[""LAW""]"
"feature, essential ~s of the invention","Merkmal, wesentliche ~e der Erfindung",caractéristiques essentielles de l'invention,,"[""LAW""]"
cation - anion,Kation - Anion,cation - anion,,"[""TECH"",""CHEM""]"
filler,Füllstoff,charge,,"[""TECH"",""CHEM""]"
lime,Kalk,chaux,,"[""TECH"",""CHEM""]"
quicklime,Branntkalk,chaux vive,,"[""TECH"",""CHEM""]"
chloride,Chlorid,chlorure,,"[""TECH"",""CHEM""]"
summons to oral proceedings,Ladung zur mündlichen Verhandlung,citation à la procédure orale,,"[""LAW""]"
"summon, to ~, to issue a summons to",laden,citer,,"[""LAW""]"
clarity,Klarheit,clarté,,"[""LAW""]"
"clarity, lack of ~","Klarheit, mangelnde ~, Mangel an ~","clarté, manque de ~, défaut de ~",,"[""LAW""]"
closure of the debate,Beendigung der sachlichen Debatte,clôture des débats,,"[""LAW""]"
"co-inventor, joint inventor",Miterfinder,coinventeur,,"[""LAW""]"
dye,Farbstoff,colorant,,"[""TECH"",""CHEM""]"
tackifier,Klebekomponente,composant adhésif,,"[""TECH"",""CHEM""]"
compound,Verbindung,composé,,"[""TECH"",""CHEM""]"
organic compound - inorganic compound,organische Verbindung - anorganische Verbindung,composé organique - composé inorganique,,"[""TECH"",""CHEM""]"
composition,Zusammensetzung,composition,,"[""TECH"",""CHEM""]"
"knowledge (in the art), common general ~","Fachwissen, allgemeines ~",connaissances générales de l'homme du métier,,"[""LAW""]"
Administrative Council,Verwaltungsrat,Conseil d'administration,,"[""LAW""]"
patent law firm,Patentanwaltssozietät,conseil en brevets constitués en société,,"[""LAW""]"
patent attorney,Patentanwalt,conseil en brevets<br>,,"[""LAW""]"
preserving agent,Konservierungsmittel,conservateur,,"[""TECH"",""CHEM""]"
"ingredient, constituent","Inhaltsstoff, Bestandteil",constituant,,"[""TECH"",""CHEM""]"
"continuation-in-part of an earlier application, CIP",Teilfortsetzung einer früheren Anmeldung,"continuation-in-part d'une demande antérieure, CIP",,"[""LAW""]"
infringement,Verletzung,contrefaçon,,"[""LAW""]"
"infringement, patent ~",Patentverletzung,contrefaçon de brevet,,"[""LAW""]"
infringement action,"Verletzung, Klage wegen ~, Verletzungsklage","contrefaçon, action en ~",,"[""LAW""]"
infringer,Patentverletzer,contrefacteur,,"[""LAW""]"
Convention on the Grant of European Patents (EPC),Übereinkommen über die Erteilung europäischer Patente (EPÜ),Convention sur la délivrance de brevets européens (CBE),,"[""LAW""]"
fatty substance,"Fettkörper, Fettsubstanz",corps gras,,"[""TECH"",""CHEM""]"
coupler,Kuppler,coupleur,,"[""TECH"",""CHEM""]"
crystalline,kristallin,cristallin,,"[""TECH"",""CHEM""]"
copper - brass,Kupfer - Messing,cuivre - laiton,,"[""TECH"",""CHEM""]"
ring,Ring,cycle,,"[""TECH"",""CHEM""]"
in due time,"rechtzeitig, binnen einer angemessenen Frist","dans les délais, dans le délai prévu, en temps utile",,"[""LAW""]"
date of filing,"Anmeldetag, Anmeldedatum",date de dépôt,,"[""LAW""]"
decision,Entscheidung,décision,,"[""LAW""]"
"decision subject to appeal, appealable ~","Entscheidung, beschwerdefähige ~",décision susceptible de recours,,"[""LAW""]"
"decision, ~ under appeal/ under attack, (impugned ~)","Entscheidung, angefochtene ~","décision, ~ attaquée, ~ faisant l'objet du recours",,"[""LAW""]"
"decision, final ~","Entscheidung, rechtskräftige/ unanfechtbare  ~, rechtskräftiges Urteil, Endentscheidung","décision, ~ passée en force de chose jugée, ~ finale",,"[""LAW""]"
"decision, to set aside the ~","Entscheidung, die ~ aufheben","décision, annuler la ~",,"[""LAW""]"
"decision, cancellation of the ~ under appeal/ under attack","Entscheidung, Aufhebung der angefochtenen ~","décision, révocation de la ~ attaquée",,"[""LAW""]"
non-unity,Nichteinheitlichkeit,défaut d'unité,,"[""LAW""]"
to degrease,entfetten,dégraisser,,"[""TECH"",""CHEM""]"
grace period,Schonfrist,délai de grâce,,"[""LAW""]"
disintegrant,Sprengmittel,délitant,,"[""TECH"",""CHEM""]"
grant,Erteilung,délivrance,,"[""LAW""]"
grant of the patent as amended or corrected,"Erteilung, ~ des Patents in der geänderten oder berichtigten Fassung",délivrance du brevet tel que modifié ou corrigé,,"[""LAW""]"
"granted, as ~","erteilt, in der ~en Fassung","délivré, tel que ~, tel qu'il a été ~",,"[""LAW""]"
"grant, to ~",erteilen,délivrer,,"[""LAW""]"
application,Patentanmeldung,demande,,"[""LAW""]"
application whose priority is claimed,"Patentanmeldung, deren Priorität beansprucht wird/ in Anspruch genommen wird",demande dont la priorité est revendiquée,,"[""LAW""]"
"application,  pending ~","Patentanmeldung, anhängige ~",demande en instance,,"[""LAW""]"
application in suit,Streitanmeldung,demande en litige,,"[""LAW""]"
application searched,"Patentanmeldung, recherchierte ~",demande faisant l'objet de la recherche,,"[""LAW""]"
counterclaim for revocation,Widerklage auf Nichtigerklärung,demande reconventionnelle en nullité,,"[""LAW""]"
application as (originally) filed,"Patentanmeldung in der (ursprünglich) eingereichten Fassung,",demande telle qu'elle a été déposée,,"[""LAW""]"
application number,Anmeldenummer,"demande, numéro de la ~",,"[""LAW""]"
"refer, to ~ a question to the Court of Justice","vorlegen, eine Frage dem Gerichtshof zur Entscheidung ~",demander à la Cour de justice de statuer,,"[""LAW""]"
"plaintiff, claimant",Kläger,demandeur,,"[""LAW""]"
applicant (for a patent),"Anmelder, Hinterleger","demandeur, déposant",,"[""LAW""]"
"file, to ~",einreichen,déposer,,"[""LAW""]"
"evidence under oath, testimony under oath",Vernehmung unter Eid,déposition sous la foi du serment,,"[""LAW""]"
filing,Einreichung,dépôt,,"[""LAW""]"
filing fee,Anmeldegebühr,"dépôt, taxe de ~",,"[""LAW""]"
derivative,Derivat,dérivé,,"[""TECH"",""CHEM""]"
"description, insufficiency of ~","Beschreibung, Mangel in der ~","description, insuffisance de la ~",,"[""LAW""]"
designation,Benennung,désignation,,"[""LAW""]"
designation of the inventor,Erfindernennung,désignation de l'inventeur,,"[""LAW""]"
designation fee,Benennungsgebühr,"désignation, taxe de ~",,"[""LAW""]"
disintegration - decomposition - dissolution,Zerfall - Zersetzung - Auflösung,désintégration - décomposition - dissolution,,"[""TECH"",""CHEM""]"
extender,Streckmittel,diluant,,"[""TECH"",""CHEM""]"
division,Teilung,division,,"[""LAW""]"
"division, examining ~",Prüfungsabteilung,division d’examen,,"[""LAW""]"
divisional application,"Teilanmeldung, (ausgeschiedene Anmeldung)","divisionnaire, demande ~",,"[""LAW""]"
disclosure,Offenbarung,divulgation,,"[""LAW""]"
anticipation,"Vorwegnahme, neuheitsschädliche ~",divulgation destructrice de nouveauté,,"[""LAW""]"
"disclosure, sufficiency of ~","Offenbarung, ausreichende ~","divulgation, suffisance de la ~, exposé suffisamment clair et complet de l'invention",,"[""LAW""]"
documents deemed not to have been received,"Unterlagen, die als nicht eingegangen gelten",documents réputés non reçus,,"[""LAW""]"
"of its own motion, ex officio",von Amts wegen,d'office,,"[""LAW""]"
"field, technical ~, art","Gebiet, technisches (Sach-) ~, Fachgebiet","domaine technique, branche",,"[""LAW""]"
right to inspect the files,Recht auf Akteneinsicht,droit de consulter le dossier,,"[""LAW""]"
patent law,Patentrecht,droit des brevets,,"[""LAW""]"
"patent law, (substantive ~)","Patentrecht, (materielles ~)",droit des brevets,,"[""LAW""]"
Right to be heard,Anspruch auf rechtliches Gehör,droit d'être entendu,,"[""LAW""]"
acquired rights,wohlerworbene Rechte,droits acquis,,"[""LAW""]"
"property rights, industrial ~","Schutzrechte, gewerbliche ~",droits de propriété industrielle,,"[""LAW""]"
rights based on prior user,Vorbenutzungsrechte,"droits d'usage antérieur, droit fondé sur une utilisation antérieure",,"[""LAW""]"
Druckexemplar,Druckexemplar,Druckexemplar,,"[""LAW""]"
cured at a temperature of,gehärtet bei einer Temperatur von ...,durci à une température de,,"[""TECH"",""CHEM""]"
"term of the patent, extended ~","Laufzeit des Patents, verlängerte ~","durée du brevet, prolongation de la ~",,"[""LAW""]"
legal consequence,Rechtsfolge,effet juridique,,"[""LAW""]"
"legal effect, to have ~",rechtliche Wirkung haben,"effet juridique, avoir un ~",,"[""LAW""]"
"effect, retroactive ~",Rückwirkung,effet rétroactif,,"[""LAW""]"
"effect, suspensive ~","Wirkung, aufschiebende ~",effet suspensif,,"[""LAW""]"
emulsifier,Emulgator,émulsifiant,,"[""TECH"",""CHEM""]"
oil-in-water emulsion,"O/W-Emulsion, Öl-in-Wasser-Emulsion",émulsion huile-dans-eau,,"[""TECH"",""CHEM""]"
teaching of the patent,Lehre des Patents,enseignement du brevet,,"[""LAW""]"
thickener,"Verdickungsmittel, Verdicker",épaississant,,"[""TECH"",""CHEM""]"
exhaustion of the rights conferred by the patent,Erschöpfung von Rechten aus dem Patent,épuisement des droits conférés par le brevet,,"[""LAW""]"
comparative test,Vergleichsversuch,essai comparatif,,"[""TECH"",""CHEM""]"
fatty alcohol ester - fatty acid ester,Fettalkoholester - Fettsäureester,ester d'alcool gras - ester d'acides gras,,"[""TECH"",""CHEM""]"
tin,Zinn,étain,,"[""TECH"",""CHEM""]"
"contracting state, (designated) ~","Vertragsstaat, (benannter) ~",État contractant (désigné),,"[""LAW""]"
prior art,Stand der Technik,état de la technique,,"[""LAW""]"
"prior art, closest ~, closest state of the art","Stand der Technik, nächstliegender, nächstkommender ~",état de la technique le plus proche,,"[""LAW""]"
"prior art, relevant ~","Stand der Technik, einschlägiger ~",état de la technique pertinent,,"[""LAW""]"
"extend, to ~ the protection conferred by the patent","erweitern, den Schutzbereich des Patents ~",étendre la protection conférée par le brevet,,"[""LAW""]"
extent/ scope of the protection (sought),"Schutzbereich, Umfang des (begehrten) Schutzes",étendue de la protection (demandée),,"[""LAW""]"
Euro-PCT application,Euro-PCT-Anmeldung,"euro-PCT, demande ~",,"[""LAW""]"
examination,Prüfung,examen,,"[""LAW""]"
examination on filing,Eingangsprüfung,examen lors du dépôt,,"[""LAW""]"
"examination, detailed preliminary ~","Prüfung, eingehende vorläufige ~",examen préliminaire détaillé,,"[""LAW""]"
"examination, substantive ~",Sachprüfung,examen quant au fond,,"[""LAW""]"
"examination, preliminary ~ report",vorläufiger Prüfungsbericht,"examen, rapport d'~ préliminaire",,"[""LAW""]"
excipient,"Hilfsstoff (Hilfsmittel, Arzneiträgerstoff), Exzipient",excipient,,"[""TECH"",""CHEM""]"
expert,Sachverständiger,expert,,"[""LAW""]"
working of the patent,Ausübung des Patents,exploitation du brevet,,"[""LAW""]"
"submissions, oral ~","Ausführungen, mündliche ~",exposé oral,,"[""LAW""]"
"disclose, to ~ the invention","offenbaren, die Erfindung ~",exposer l'invention,,"[""LAW""]"
"expiry of the patent, lapse of the patent",Erlöschen des Patents,extinction du brevet,,"[""LAW""]"
"allow, to ~",stattgeben/ abhelfen,faire droit,,"[""LAW""]"
patent specification,Patentschrift,fascicule du brevet,shorter terms: patent spec; the B1 spec; the B1,"[""LAW""]"
sheet of drawings,Zeichnungsblatt,feuille de dessin,,"[""LAW""]"
"flowability, fluidity - pourability",Fließfähigkeit - Rieselfähigkeit (bei Schüttgütern),"fluidité - capacité de ruissellement, l'aptitude à l'ècoulement (matériau granulaire)",,"[""TECH"",""CHEM""]"
Enlarged Board of Appeal,Große Beschwerdekammer,Grande Chambre de recours,,"[""LAW"",""APPEAL""]"
"Enlarged Board of Appeal, opinion of the  ~",Stellungnahme der Großen Beschwerdekammer,"Grande Chambre de recours, avis de la ~",,"[""LAW""]"
granulate,Granulat,granulé,,"[""TECH"",""CHEM""]"
registry (of a board of appeal),Geschäftsstelle (einer Beschwerdekammer),greffe (d'une chambre de recours),,"[""LAW"",""APPEAL""]"
Registrar,Geschäftsstellenbeamter,greffier,,"[""LAW"",""APPEAL""]"
functional group,funktionelle Gruppe,groupe fonctionnel,,"[""TECH"",""CHEM""]"
hydroxy group,Hydroxygruppe,"groupe hydroxy, groupe hydroxyle",,"[""TECH"",""CHEM""]"
skilled person,Fachmann,homme du métier,,"[""LAW""]"
"skilled person, average ~",Durchschnittsfachmann,"homme du métier, ~ de compétence moyenne, ~ moyen",,"[""LAW""]"
oil,Öl,huile,,"[""TECH"",""CHEM""]"
castor oil,Rizinusöl,huile de ricin,,"[""TECH"",""CHEM""]"
humectant,Feuchthaltemittel,humectant,,"[""TECH"",""CHEM""]"
hydrogenated,hydriert,hydrogéné,,"[""TECH"",""CHEM""]"
INCI,INCI,INCI,,"[""TECH"",""CHEM""]"
parent patent,Stammpatent,"initial, brevet ~",,"[""LAW""]"
injunction,Unterlassungsanordnung,injonction,,"[""LAW""]"
inspection of files,Einsicht in die Akten,inspection publique,,"[""LAW""]"
processing,Behandlung,instruction,,"[""LAW""]"
taking of evidence,"Beweisaufnahme, Beweiserhebung",instruction,,"[""LAW""]"
inter partes procedure,Inter-partes-Verfahren,"inter partes, procédure ~",,"[""LAW""]"
interlocutory decision,Zwischenentscheidung,"intermédiaire, décision ~",,"[""LAW""]"
interruption of proceedings,Unterbrechung des Verfahrens,interruption de la procédure,,"[""LAW""]"
respondent,Beschwerdegegner,intimé,,"[""LAW"",""APPEAL""]"
invention,Erfindung,invention,,"[""LAW""]"
"invention, patentable ~","Erfindung, patentfähige ~, patentierbare ~",invention brevetable,,"[""LAW""]"
"invention, non-obvious ~","Erfindung, nicht nahe liegende ~",invention non évidente,,"[""LAW""]"
invention claimed,"Erfindung, beanspruchte ~",invention revendiquée,,"[""LAW""]"
"invention, to carry out the ~","Erfindung, die ~ ausführen","invention, exécuter l’~",,"[""LAW""]"
"invention, to disclose an ~","Erfindung, eine ~ offenbaren","invention, exposer une ~",,"[""LAW""]"
"submit, to ~ facts","vorbringen, Tatsachen ~",invoquer des faits,,"[""LAW""]"
inadmissible,unzulässig,irrecevable,,"[""LAW""]"
consolidation of a European patent application with a Euro-PCT application,Verbindung einer europäischen Patentanmeldung mit einer Euro-PCT-Anmeldung,jonction d'une demande de brevet européen et d'une demande euro-PCT,,"[""LAW""]"
added matter,unzulässige Erweiterung,l’ajout d'éléments,,"[""NEW""]"
alumina,Aluminiumoxid,l'alumine,,"[""TECH"",""CHEM""]"
hydrogen cyanide (prussic acid - HCN),Blausäure (Cyanwasserstoff),le cyanure d'hydrogène (HCN),,"[""TECH"",""CHEM""]"
silicon dioxide (silica),Siliziumdioxid (Kieselsäure),le dioxyde de silicium (la silice),,"[""TECH"",""CHEM""]"
bleaching lye,Bleichlauge,lessive à blanchir,,"[""TECH"",""CHEM""]"
binder,Bindemittel,liant,,"[""TECH"",""CHEM""]"
"licence, compulsory ~",Zwangslizenz,licence obligatoire,,"[""LAW""]"
"limitation of the patent, ~ of the claims","Beschränkung des Patents, ~ der Ansprüche","limitation du brevet, ~ des revendications",,"[""LAW""]"
limitation proceedings,Beschränkungsverfahren,"limitation, procédure de ~",,"[""LAW""]"
"litigation, patent ~, patent dispute",Patentstreitigkeit,"litige, différend en matière de brevet",,"[""LAW""]"
chain length,Kettenlänge,longueur de chaîne,,"[""TECH"",""CHEM""]"
lubricant,Schmiermittel,lubrifiant,,"[""TECH"",""CHEM""]"
"maintain, to ~",aufrechterhalten,maintenir,,"[""LAW""]"
maintenance of the patent,Aufrechterhaltung des Patents,maintien du brevet,,"[""LAW""]"
maintenance of the patent unamended,Aufrechterhaltung des Patents in unveränderter Form,maintien du brevet sans modification,,"[""LAW""]"
"maintenance of the patent, to prejudice the ~","Aufrechterhaltung des Patents, der ~ entgegenstehen","maintien du brevet, s'opposer au ~",,"[""LAW""]"
"maintenance of the patent, ~ in amended form, ~ as amended",Aufrechterhaltung des Patents in geänderter Fassung,"maintien du brevet, tel qu'il a été modifié",,"[""LAW""]"
"representative, appointed ~","Vertreter, Anwalt, bestellter ~",mandataire désigné,,"[""LAW""]"
"representative, to act as the professional ~ (before the European Patent Office)","Vertreter, Anwalt, als zugelassener ~ (beim Europäischen Patentamt) auftreten","mandataire, agir en qualité de ~ agréé (près l'Office européen des brevets)",,"[""LAW""]"
representative,Vertreter,"mandataire, représentant",,"[""LAW""]"
"member, legally qualified ~","Mitglied, rechtskundiges ~",membre juriste,shorter: legal member,"[""LAW""]"
"member, technically qualified ~","Mitglied, technisch vorgebildetes ~",membre technicien,,"[""LAW""]"
statements of case,Schriftsätze,mémoires,,"[""LAW""]"
"evidence, to take ~",Beweisaufnahmen vornehmen,"mesures d'instruction, procéder aux ~",,"[""LAW""]"
alkali metal,Alkalimetall,métal alcalin,,"[""TECH"",""CHEM""]"
"procedures, implementing ~",Durchführungsbestimmungen,modalités d'application,,"[""LAW""]"
"embodiment of the invention, particular ~","Ausführungsform der Erfindung, besondere ~",mode particulier de réalisation de l'invention,,"[""LAW""]"
"model, utility ~",Gebrauchsmuster,modèle d’utilité,,"[""LAW""]"
"amended, in (the) ~ form, as ~","geändert, in ~em Umfang, in ~er Fassung","modifié, sous sa forme ~e, tel que ~",,"[""LAW""]"
"nonionic, anionic, amphoteric, cationic, zwitterionic","nichtionisch, anionisch, amphoter, kationisch, zwitterionisch","non ioniques, anioniques, amphotères, cationiques, zwittérioniques",,"[""TECH"",""CHEM""]"
non-obviousness of an invention,Nichtoffensichtlichkeit einer Erfindung,non-évidence d'une invention,,"[""LAW""]"
communication,Bescheid,notification,,"[""LAW""]"
novel,neu/neuartig,nouveau,,"[""NEW""]"
novelty,Neuheit,nouveauté,,"[""LAW""]"
"novelty, lack of ~","Neuheit, mangelnde ~","nouveauté, défaut de ~",,"[""LAW""]"
"novelty?destroying, prejudicial to novelty",neuheitsschädlich,"nouveauté, détruisant la ~, destructeur de la ~",,"[""LAW""]"
"novelty, examination as to ~","Neuheitsprüfung, Prüfung auf ~","nouveauté, examen de la ~",,"[""LAW""]"
revocation,Nichtigerklärung,nullité,,"[""LAW""]"
revocation action,Nichtigkeitsklage,"nullité, action en ~",,"[""LAW""]"
subject-matter (of the application/ of the invention/ of the patent),Gegenstand (der Anmeldung/ der Erfindung/ des Patents),objet (de la demande/ de l’invention/ du brevet),,"[""LAW""]"
"subject-matter, claimed ~","Gegenstand, beanspruchter ~",objet revendiqué,,"[""LAW""]"
obligation of confidentiality on the professional representative,Verschwiegenheitspflicht des zugelassenen Vertreters,obligation de confidentialité du mandataire agréé,,"[""LAW""]"
observations by third parties,Einwendungen Dritter,observations des tiers,,"[""LAW""]"
observations on a communication,Stellungnahme zu einem Bescheid,observations sur une notification,,"[""LAW""]"
"opinion, written ~","Bescheid, schriftlicher ~",opinion écrite,,"[""LAW""]"
preliminary opinion,vorläufige Einschätzung,opinion provisoire,,"[""LAW""]"
opponent,Einsprechender,opposant,,"[""LAW""]"
"prejudicial, to be ~ to",entgegenstehen,opposer,,"[""LAW""]"
opposition,Einspruch,opposition,,"[""LAW""]"
"opposition, admissible ~","Einspruch, zulässiger ~",opposition recevable,,"[""LAW""]"
"opposition, notice of ~",Einspruchsschrift,"opposition, acte d'~",,"[""LAW""]"
"opposition, ~ period, period for filing the notice of ~",Einspruchsfrist,"opposition, délai d'~",,"[""LAW""]"
opposition division,Einspruchsabteilung,"opposition, division d’~",,"[""LAW""]"
"opposition, to file an ~/to file notice of ~",Einspruch einlegen,"opposition, former une ~, faire ~ à",,"[""LAW""]"
"opposition, ground for ~",Einspruchsgrund,"opposition, motif d'~",,"[""LAW""]"
"opposition, to reject the ~, to reject the notice of ~","Einspruch, den ~ zurückweisen","opposition, rejeter l'~",,"[""LAW""]"
"opposition, withdrawal of the ~",Zurücknahme (oder: Rücknahme) des Einspruchs,"opposition, retrait de l'~",,"[""LAW""]"
opposition fee,Einspruchsgebühr,"opposition, taxe d'~",,"[""LAW""]"
organic - inorganic,organisch - anorganisch,organique - inorganique,,"[""TECH"",""CHEM""]"
party,Partei,partie,,"[""LAW""]"
"party, opposing ~","Partei, gegnerische ~",partie adverse,,"[""LAW""]"
party to the Treaty,Vertragspartei des Vertrags,partie au traité,,"[""LAW""]"
"party, authorized ~","Partei, berechtigte ~",partie autorisée,,"[""LAW""]"
"portion, characterising ~","Teil, kennzeichnender ~",partie caractérisante,,"[""LAW""]"
"party, requesting ~","Partei, antragstellende ~",partie requérante,,"[""LAW""]"
non-obvious,nicht offensichtlich,pas évident,,"[""LAW""]"
"pasty, paste-like",pastös,pâteux,,"[""TECH"",""CHEM""]"
"pending, case ~",schwebend(es Verfahren),"pendant, affaire ~e",,"[""LAW""]"
permeate,Permeat,perméat,,"[""TECH"",""CHEM""]"
hydrogen peroxide,Wasserstoffperoxid,peroxyde d'hydrogène,,"[""TECH"",""CHEM""]"
accompanying persons,Begleitpersonen,personnes accompagnantes,,"[""LAW""]"
loss of rights,Rechtsverlust,perte d'un droit,,"[""LAW""]"
pharmaceutically acceptable,pharmazeutisch unbedenklich,pharmaceutiquement acceptable,,"[""TECH"",""CHEM""]"
"European phase, entry into the ~","europäische Phase, Eintritt in die ~","phase européenne, entrée dans la ~",,"[""LAW""]"
oil phase,Ölphase,phase huileuse,,"[""TECH"",""CHEM""]"
physiologically acceptable,physiologisch unbedenklich,"physiologiquement acceptable, physiologiquement inoffensif",,"[""TECH"",""CHEM""]"
plasticizer,Weichmacher,plastifiant,,"[""TECH"",""CHEM""]"
lead,Blei,plomb,,"[""TECH"",""CHEM""]"
freezing point,Gefrierpunkt,point de congélation,,"[""TECH"",""CHEM""]"
melting point,Schmelzpunkt,point de fusion,,"[""TECH"",""CHEM""]"
softening point,Erweichungspunkt,point de ramollissement,,"[""TECH"",""CHEM""]"
for further prosecution,zur weiteren Entscheidung,pour suite à donner,,"[""LAW""]"
"further processing, request for ~","Weiterbehandlung, Antrag auf ~","poursuite de la procédure, requête en ~",,"[""LAW""]"
prior-art portion of a claim,Oberbegriff eines Patentanspruchs,préambule d'une revendication,,"[""LAW""]"
legal predecessor,Rechtsvorgänger,prédécesseur en droit,,"[""LAW""]"
preliminary ruling,Vorabentscheidung,"préjudicielle, décision ~",,"[""LAW""]"
First examiner,erster Prüfer,premier examinateur,,"[""NEW""]"
first filing,Erstanmeldung,première demande,,"[""LAW""]"
"make oral submissions, to",mündliche Ausführungen machen,présenter des observations orales,,"[""LAW""]"
atmospheric pressure,Normaldruck,pression atmosphérique,,"[""TECH"",""CHEM""]"
"proof, burden of ~",Beweislast,"preuve, charge de la ~, fardeau de la ~",,"[""LAW""]"
parent application,"Stammanmeldung, Hauptanmeldung","principale, demande ~, demande initiale",,"[""LAW""]"
